feature,signal,stat,null_count,null_pct
bilirubin_stddev,bilirubin,stddev,28889,100.0
bilirubin_slope,bilirubin,slope,28889,100.0
creatinine_stddev,creatinine,stddev,28888,99.99
creatinine_slope,creatinine,slope,28888,99.99
wbc_slope,wbc,slope,28886,99.99
platelets_slope,platelets,slope,28885,99.98
platelets_stddev,platelets,stddev,28885,99.98
wbc_stddev,wbc,stddev,28884,99.98
lactate_slope,lactate,slope,28862,99.9
lactate_stddev,lactate,stddev,28862,99.9
temperature_slope,temperature,slope,28561,98.86
bilirubin_mean,bilirubin,mean,27863,96.45
bilirubin_min,bilirubin,min,27863,96.45
bilirubin_last,bilirubin,last,27863,96.45
bilirubin_max,bilirubin,max,27863,96.45
lactate_min,lactate,min,27834,96.34
lactate_last,lactate,last,27834,96.34
lactate_mean,lactate,mean,27834,96.34
lactate_max,lactate,max,27834,96.34
heart_rate_slope,heart_rate,slope,26720,92.49
heart_rate_stddev,heart_rate,stddev,26714,92.47
map_slope,map,slope,26701,92.42
sbp_slope,sbp,slope,26611,92.11
dbp_slope,dbp,slope,26607,92.1
spo2_slope,spo2,slope,26190,90.65
spo2_stddev,spo2,stddev,26184,90.63
resp_rate_slope,resp_rate,slope,26181,90.62
wbc_mean,wbc,mean,25808,89.33
wbc_min,wbc,min,25808,89.33
wbc_last,wbc,last,25808,89.33
wbc_max,wbc,max,25808,89.33
platelets_min,platelets,min,25707,88.98
platelets_max,platelets,max,25707,88.98
platelets_mean,platelets,mean,25707,88.98
platelets_last,platelets,last,25707,88.98
map_stddev,map,stddev,25697,88.95
dbp_stddev,dbp,stddev,25616,88.67
sbp_stddev,sbp,stddev,25583,88.55
creatinine_mean,creatinine,mean,25480,88.2
creatinine_min,creatinine,min,25480,88.2
creatinine_max,creatinine,max,25480,88.2
creatinine_last,creatinine,last,25480,88.2
resp_rate_stddev,resp_rate,stddev,24402,84.47
temperature_stddev,temperature,stddev,24019,83.14
temperature_last,temperature,last,20092,69.55
temperature_mean,temperature,mean,20092,69.55
temperature_min,temperature,min,20092,69.55
temperature_max,temperature,max,20092,69.55
map_max,map,max,3264,11.3
map_min,map,min,3264,11.3
map_last,map,last,3264,11.3
map_mean,map,mean,3264,11.3
spo2_mean,spo2,mean,2817,9.75
spo2_max,spo2,max,2817,9.75
spo2_last,spo2,last,2817,9.75
spo2_min,spo2,min,2817,9.75
dbp_max,dbp,max,2779,9.62
dbp_min,dbp,min,2779,9.62
dbp_mean,dbp,mean,2779,9.62
dbp_last,dbp,last,2779,9.62
sbp_last,sbp,last,2776,9.61
sbp_mean,sbp,mean,2776,9.61
sbp_min,sbp,min,2776,9.61
sbp_max,sbp,max,2776,9.61
resp_rate_mean,resp_rate,mean,2540,8.79
resp_rate_min,resp_rate,min,2540,8.79
resp_rate_max,resp_rate,max,2540,8.79
resp_rate_last,resp_rate,last,2540,8.79
heart_rate_mean,heart_rate,mean,2046,7.08
heart_rate_min,heart_rate,min,2046,7.08
heart_rate_max,heart_rate,max,2046,7.08
heart_rate_last,heart_rate,last,2046,7.08
